likelihood,Particles,Method
-208138.77564972534,100,Bootstrap
-213823.7137631111,100,Bootstrap
-214225.81684332265,100,Bootstrap
-210470.17051301413,100,Bootstrap
-205855.30384733458,100,Bootstrap
-206933.9813851938,100,Bootstrap
-207307.59761257673,100,Bootstrap
-207366.97378074005,100,Bootstrap
-208024.49562624824,100,Bootstrap
-213291.93896112186,100,Bootstrap
-213417.46179159105,100,Bootstrap
-208602.73237668982,100,Bootstrap
-207362.9549014008,100,Bootstrap
-207650.50012542776,100,Bootstrap
-208444.57999075434,100,Bootstrap
-204722.56280807877,100,Bootstrap
-211855.89784703637,100,Bootstrap
-155816.23512513045,1000,Bootstrap
-156475.71224962236,1000,Bootstrap
-156744.88733144186,1000,Bootstrap
-155672.16510735766,1000,Bootstrap
-159332.91145129496,1000,Bootstrap
-156978.7722177461,1000,Bootstrap
-157209.4065811226,1000,Bootstrap
-156563.0514274688,1000,Bootstrap
-158226.1914125737,1000,Bootstrap
-158360.4960242544,1000,Bootstrap
-160110.9599217714,1000,Bootstrap
-153789.65867224155,1000,Bootstrap
-156397.43780709212,1000,Bootstrap
-157880.8975717674,1000,Bootstrap
-156734.92131412434,1000,Bootstrap
-162816.4402492842,1000,Bootstrap
-158678.51102577406,1000,Bootstrap
-154921.89647763403,1000,Bootstrap
-156145.20524291127,1000,Bootstrap
-156136.75898535133,1000,Bootstrap
-157890.30215652898,1000,Bootstrap
-157136.16338387298,1000,Bootstrap
-155270.5699216663,1000,Bootstrap
-161359.83733596426,1000,Bootstrap
-160907.51138871853,1000,Bootstrap
-163314.92304090643,1000,Bootstrap
-159590.26294051288,1000,Bootstrap
-156930.8545024672,1000,Bootstrap
-156683.6679296942,1000,Bootstrap
-155932.9293007736,1000,Bootstrap
-159680.08835413304,1000,Bootstrap
-161353.79280697065,1000,Bootstrap
-159964.73732571592,1000,Bootstrap
-157782.63256389942,1000,Bootstrap
-158464.57619812875,1000,Bootstrap
-159027.24551082472,1000,Bootstrap
-162137.57108306335,1000,Bootstrap
-155671.9246739468,1000,Bootstrap
-157457.714325138,1000,Bootstrap
-157824.05193527258,1000,Bootstrap
-159522.28751801976,1000,Bootstrap
-153864.43258147276,1000,Bootstrap
-160736.5556041692,1000,Bootstrap
-154958.83374363973,1000,Bootstrap
-159072.87438923505,1000,Bootstrap
-154545.12396606975,1000,Bootstrap
